"year","district","primary_type","arrests"
2002,8,"ASSAULT",463
2002,5,"SEX OFFENSE",33
2003,4,"ASSAULT",405
2003,2,"BATTERY",1164
2003,5,"OTHER OFFENSE",167
2003,8,"NARCOTICS",2269
2003,4,"ROBBERY",91
2003,9,"THEFT",644
2003,4,"OTHER OFFENSE",215
2003,8,"OFFENSE INVOLVING CHILDREN",64
2004,5,"ASSAULT",363
2004,9,"ROBBERY",68
2004,5,"NARCOTICS",2661
2004,17,"ROBBERY",39
2004,5,"CRIMINAL TRESPASS",211
2004,9,"DECEPTIVE PRACTICE",182
2004,9,"CRIMINAL TRESPASS",442
2005,16,"NARCOTICS",691
2005,2,"NARCOTICS",2463
2005,17,"NARCOTICS",850
2005,4,"SEX OFFENSE",26
2005,8,"BATTERY",1384
2006,9,"DECEPTIVE PRACTICE",181
2006,25,"OTHER OFFENSE",262
2006,16,"PUBLIC PEACE VIOLATION",35
2006,8,"OFFENSE INVOLVING CHILDREN",47
2006,22,"ASSAULT",163
2006,4,"NARCOTICS",2918
2007,22,"OFFENSE INVOLVING CHILDREN",14
2006,9,"PROSTITUTION",668
2007,16,"WEAPONS VIOLATION",42
2007,9,"NARCOTICS",2577
2007,9,"DECEPTIVE PRACTICE",151
2007,9,"OTHER OFFENSE",228
2007,8,"DECEPTIVE PRACTICE",139
2007,8,"CRIMINAL DAMAGE",393
2007,4,"OTHER OFFENSE",189
2008,25,"NARCOTICS",2415
2008,16,"CRIMINAL TRESPASS",227
2008,16,"NARCOTICS",704
2008,8,"CRIMINAL DAMAGE",268
2008,8,"LIQUOR LAW VIOLATION",64
2008,16,"OFFENSE INVOLVING CHILDREN",26
2008,9,"DECEPTIVE PRACTICE",96
2009,9,"SEX OFFENSE",60
2009,9,"ARSON",8
2009,5,"BATTERY",832
2009,9,"NARCOTICS",2437
2009,9,"LIQUOR LAW VIOLATION",65
2009,8,"CRIMINAL TRESPASS",372
2010,8,"PUBLIC PEACE VIOLATION",291
2011,5,"CRIMINAL DAMAGE",96
2011,4,"NARCOTICS",1920
2011,4,"PUBLIC PEACE VIOLATION",155
2011,9,"DECEPTIVE PRACTICE",218
2011,9,"OTHER OFFENSE",188
2012,8,"PROSTITUTION",157
2012,8,"OTHER OFFENSE",164
2012,8,"NARCOTICS",1951
2012,5,"NARCOTICS",1718
2012,5,"BATTERY",737
2012,17,"ASSAULT",110
2012,16,"BATTERY",334
2012,9,"PUBLIC PEACE VIOLATION",150
2012,5,"GAMBLING",25
2012,2,"BATTERY",571
2012,8,"ASSAULT",307
2012,8,"DECEPTIVE PRACTICE",114
2013,9,"PUBLIC PEACE VIOLATION",185
2013,8,"NARCOTICS",1589
2013,9,"OTHER OFFENSE",223
2013,4,"WEAPONS VIOLATION",208
2013,4,"OFFENSE INVOLVING CHILDREN",25
2013,17,"PUBLIC PEACE VIOLATION",42
2013,9,"NARCOTICS",1489
2004,16,"DECEPTIVE PRACTICE",153
2006,4,"OFFENSE INVOLVING CHILDREN",46
2019,16,"NARCOTICS",115
2019,9,"NARCOTICS",425
2015,22,"OTHER OFFENSE",208
2015,22,"INTERFERENCE WITH PUBLIC OFFICER",41
2015,2,"WEAPONS VIOLATION",93
2015,22,"BATTERY",296
2015,16,"NARCOTICS",532
2015,8,"GAMBLING",16
2015,4,"BATTERY",842
2016,5,"NARCOTICS",530
2016,22,"OTHER OFFENSE",141
2017,4,"OTHER OFFENSE",338
2017,8,"NARCOTICS",484
2017,25,"NARCOTICS",473
2017,4,"STALKING",3
2018,4,"OTHER OFFENSE",342
2018,4,"WEAPONS VIOLATION",292
2018,4,"CRIMINAL TRESPASS",216
2018,17,"NARCOTICS",102
2018,9,"CRIMINAL TRESPASS",133
2018,8,"OTHER OFFENSE",146
2018,9,"SEX OFFENSE",12
2018,2,"OTHER OFFENSE",150
2019,8,"ROBBERY",32
2009,4,"HOMICIDE",27
2002,4,"NARCOTICS",1957
2002,4,"WEAPONS VIOLATION",231
2002,5,"ASSAULT",458
2002,9,"NARCOTICS",2653
2002,16,"DECEPTIVE PRACTICE",158
2002,16,"SEX OFFENSE",42
2003,16,"OTHER OFFENSE",271
2003,16,"CRIMINAL DAMAGE",147
2003,5,"CRIMINAL DAMAGE",163
2003,16,"DECEPTIVE PRACTICE",187
2003,9,"LIQUOR LAW VIOLATION",91
2003,4,"SEX OFFENSE",25
2003,8,"PROSTITUTION",281
2003,8,"DECEPTIVE PRACTICE",179
2003,16,"PUBLIC PEACE VIOLATION",36
2003,4,"OFFENSE INVOLVING CHILDREN",56
2004,4,"OTHER OFFENSE",221
2004,2,"OFFENSE INVOLVING CHILDREN",39
2005,2,"BATTERY",1038
2005,9,"ASSAULT",410
2005,9,"CRIMINAL TRESPASS",403
2005,9,"BATTERY",1113
2005,22,"OTHER OFFENSE",127
2005,25,"OTHER OFFENSE",304
2005,5,"OTHER OFFENSE",155
2005,17,"BATTERY",722
2005,4,"NARCOTICS",2415
2005,5,"NARCOTICS",2731
2005,8,"CRIMINAL DAMAGE",328
2006,9,"ASSAULT",372
2006,9,"BURGLARY",108
2006,9,"NARCOTICS",2699
2006,2,"SEX OFFENSE",18
2006,2,"CRIMINAL TRESPASS",721
2006,22,"BATTERY",435
2006,9,"OTHER OFFENSE",221
2006,17,"NARCOTICS",704
2006,17,"ASSAULT",231
2007,8,"BATTERY",1239
2007,5,"BATTERY",920
2007,2,"NARCOTICS",2349
2007,4,"CRIMINAL TRESPASS",365
2007,8,"OFFENSE INVOLVING CHILDREN",48
2007,4,"LIQUOR LAW VIOLATION",83
2008,17,"CRIMINAL DAMAGE",181
2008,9,"CRIMINAL TRESPASS",286
2008,4,"ARSON",6
2008,4,"BATTERY",1058
2008,5,"OFFENSE INVOLVING CHILDREN",35
2008,25,"THEFT",873
2008,8,"NARCOTICS",2473
2008,5,"ASSAULT",351
2009,8,"OTHER OFFENSE",293
2009,2,"BATTERY",676
2009,16,"NARCOTICS",738
2009,2,"MOTOR VEHICLE THEFT",82
2009,16,"OTHER OFFENSE",135
2009,5,"WEAPONS VIOLATION",242
2009,17,"LIQUOR LAW VIOLATION",46
2010,8,"SEX OFFENSE",23
2010,8,"OFFENSE INVOLVING CHILDREN",48
2010,9,"PUBLIC PEACE VIOLATION",184
2011,4,"OTHER OFFENSE",178
2011,16,"BATTERY",358
2011,5,"BATTERY",735
2011,4,"CRIMINAL TRESPASS",258
2012,8,"CRIMINAL TRESPASS",360
2012,4,"NARCOTICS",1596
2012,16,"OTHER OFFENSE",73
2012,4,"CRIMINAL DAMAGE",144
2012,4,"ROBBERY",70
2013,16,"OTHER OFFENSE",112
2013,4,"PUBLIC PEACE VIOLATION",155
2013,4,"SEX OFFENSE",9
2019,8,"PUBLIC PEACE VIOLATION",35
2019,9,"BATTERY",464
2019,2,"HOMICIDE",5
2019,5,"ARSON",2
2019,9,"ASSAULT",153
2019,4,"MOTOR VEHICLE THEFT",18
2015,25,"PUBLIC PEACE VIOLATION",111
2016,8,"OTHER OFFENSE",169
2016,16,"NARCOTICS",343
2016,9,"BATTERY",565
2016,5,"ASSAULT",259
2017,9,"BATTERY",497
2017,5,"NARCOTICS",459
2017,4,"PUBLIC PEACE VIOLATION",72
2018,8,"CRIMINAL TRESPASS",116
2019,4,"BATTERY",663
2019,5,"CRIMINAL DAMAGE",88
2002,16,"BATTERY",614
2002,17,"PUBLIC PEACE VIOLATION",38
2002,8,"PROSTITUTION",299
2002,16,"GAMBLING",15
2003,9,"NARCOTICS",2854
2003,2,"NARCOTICS",3211
2003,4,"DECEPTIVE PRACTICE",74
2004,8,"CRIMINAL DAMAGE",310
2004,4,"PUBLIC PEACE VIOLATION",35
2004,16,"WEAPONS VIOLATION",60
2004,4,"ASSAULT",457
2004,4,"GAMBLING",75
2004,8,"BATTERY",1462
2004,9,"THEFT",679
2004,9,"NARCOTICS",2388
2004,25,"DECEPTIVE PRACTICE",144
2004,5,"BATTERY",1002
2004,5,"WEAPONS VIOLATION",159
2004,4,"BATTERY",1035
2005,4,"WEAPONS VIOLATION",278
2005,4,"DECEPTIVE PRACTICE",71
2005,9,"DECEPTIVE PRACTICE",206
2005,9,"NARCOTICS",2189
2005,8,"MOTOR VEHICLE THEFT",234
2006,8,"ROBBERY",152
2006,5,"BATTERY",833
2006,8,"THEFT",769
2006,9,"CRIM SEXUAL ASSAULT",17
2006,4,"OTHER OFFENSE",189
2006,8,"PUBLIC PEACE VIOLATION",286
2006,16,"DECEPTIVE PRACTICE",100
2006,16,"CRIMINAL DAMAGE",170
2006,22,"NARCOTICS",1519
2006,4,"CRIMINAL DAMAGE",187
2006,9,"ARSON",4
2006,8,"CRIMINAL DAMAGE",407
2006,16,"PROSTITUTION",38
2007,9,"LIQUOR LAW VIOLATION",114
2007,5,"INTERFERENCE WITH PUBLIC OFFICER",31
2007,22,"PUBLIC PEACE VIOLATION",45
2007,5,"DECEPTIVE PRACTICE",35
2008,4,"WEAPONS VIOLATION",258
2008,5,"NARCOTICS",1683
2008,5,"PUBLIC PEACE VIOLATION",61
2008,5,"CRIMINAL DAMAGE",144
2008,4,"NARCOTICS",2454
2008,9,"INTERFERENCE WITH PUBLIC OFFICER",22
2008,8,"MOTOR VEHICLE THEFT",161
2008,8,"OTHER OFFENSE",274
2009,2,"OTHER OFFENSE",200
2009,8,"NARCOTICS",2376
2009,22,"CRIM SEXUAL ASSAULT",6
2009,17,"PROSTITUTION",32
2009,4,"GAMBLING",30
2010,4,"NARCOTICS",1940
2010,9,"BATTERY",695
2010,9,"DECEPTIVE PRACTICE",117
2010,5,"NARCOTICS",1710
2010,8,"OTHER OFFENSE",209
2010,8,"NARCOTICS",2783
2011,4,"CRIMINAL DAMAGE",122
2011,17,"OTHER OFFENSE",98
2011,16,"NARCOTICS",562
2011,17,"OBSCENITY",2
2011,9,"ASSAULT",321
2012,5,"PUBLIC INDECENCY",2
2012,22,"THEFT",219
2012,9,"CRIMINAL DAMAGE",145
2012,4,"OTHER OFFENSE",158
2012,4,"WEAPONS VIOLATION",260
2012,9,"NARCOTICS",1552
2014,9,"NARCOTICS",1230
2014,17,"NARCOTICS",351
2014,5,"ASSAULT",314
2014,8,"PUBLIC PEACE VIOLATION",229
2014,9,"PUBLIC PEACE VIOLATION",139
2014,5,"WEAPONS VIOLATION",272
2014,9,"DECEPTIVE PRACTICE",87
2014,4,"PUBLIC PEACE VIOLATION",202
2014,4,"BATTERY",815
2015,22,"NARCOTICS",580
2003,16,"CRIM SEXUAL ASSAULT",4
2019,5,"INTERFERENCE WITH PUBLIC OFFICER",120
2019,25,"OTHER OFFENSE",155
2015,22,"BURGLARY",29
2015,8,"CRIM SEXUAL ASSAULT",18
2015,4,"PUBLIC PEACE VIOLATION",151
2015,9,"NARCOTICS",1203
2016,4,"OTHER OFFENSE",274
2016,4,"THEFT",177
2016,8,"ASSAULT",236
2017,5,"ASSAULT",242
2017,22,"INTERFERENCE WITH PUBLIC OFFICER",34
2017,22,"NARCOTICS",160
2017,8,"INTERFERENCE WITH PUBLIC OFFICER",40
2018,5,"NARCOTICS",515
2018,5,"CRIMINAL DAMAGE",87
2018,4,"INTERFERENCE WITH PUBLIC OFFICER",115
2018,9,"BATTERY",463
2018,4,"BATTERY",731
2018,2,"CRIMINAL TRESPASS",142
2018,17,"HOMICIDE",3
2018,16,"NARCOTICS",175
2019,2,"PUBLIC PEACE VIOLATION",29
2019,16,"MOTOR VEHICLE THEFT",18
2019,8,"NARCOTICS",462
2019,8,"DECEPTIVE PRACTICE",28
2002,5,"CRIMINAL TRESPASS",258
2002,2,"OTHER OFFENSE",315
2002,4,"OTHER OFFENSE",203
2002,5,"BATTERY",1176
2019,5,"HOMICIDE",7
2003,8,"ROBBERY",152
2003,9,"BATTERY",1105
2004,4,"DECEPTIVE PRACTICE",88
2004,17,"SEX OFFENSE",34
2004,2,"BATTERY",1085
2004,8,"ASSAULT",519
2004,22,"NARCOTICS",1574
2004,25,"NARCOTICS",3074
2004,8,"GAMBLING",62
2004,2,"ASSAULT",379
2004,9,"ASSAULT",425
2004,16,"ASSAULT",230
2005,9,"ROBBERY",92
2005,4,"GAMBLING",75
2005,5,"BATTERY",858
2005,16,"DECEPTIVE PRACTICE",158
2006,25,"MOTOR VEHICLE THEFT",133
2006,4,"BATTERY",892
2006,4,"WEAPONS VIOLATION",252
2006,16,"THEFT",236
2006,17,"PROSTITUTION",142
2006,2,"NARCOTICS",1839
2007,5,"ROBBERY",65
2007,9,"GAMBLING",78
2007,5,"WEAPONS VIOLATION",249
2007,9,"SEX OFFENSE",36
2007,4,"BURGLARY",94
2007,8,"PUBLIC PEACE VIOLATION",231
2008,4,"PUBLIC PEACE VIOLATION",103
2008,16,"CRIMINAL DAMAGE",135
2008,4,"CRIM SEXUAL ASSAULT",18
2008,16,"LIQUOR LAW VIOLATION",48
2008,16,"OTHER OFFENSE",144
2008,16,"ROBBERY",33
2008,4,"MOTOR VEHICLE THEFT",89
2009,9,"OTHER OFFENSE",252
2009,8,"BATTERY",1111
2009,4,"OTHER OFFENSE",250
2009,4,"WEAPONS VIOLATION",260
2010,17,"WEAPONS VIOLATION",46
2010,4,"BATTERY",824
2010,4,"BURGLARY",79
2010,16,"CRIMINAL DAMAGE",130
2010,22,"ROBBERY",35
2010,5,"CRIMINAL DAMAGE",95
2010,2,"BATTERY",574
2010,9,"THEFT",385
2010,4,"STALKING",2
2011,8,"DECEPTIVE PRACTICE",104
2012,8,"PUBLIC PEACE VIOLATION",261
2012,4,"ASSAULT",324
2012,17,"PROSTITUTION",15
2012,9,"LIQUOR LAW VIOLATION",49
2012,2,"ASSAULT",193
2012,8,"STALKING",3
2012,5,"OTHER OFFENSE",141
2013,16,"PUBLIC PEACE VIOLATION",39
2019,4,"ASSAULT",311
2012,16,"DECEPTIVE PRACTICE",77
2015,4,"ASSAULT",343
2016,9,"DECEPTIVE PRACTICE",43
2017,16,"NARCOTICS",280
2017,8,"BATTERY",581
2017,2,"BATTERY",392
2017,4,"DECEPTIVE PRACTICE",33
2018,5,"SEX OFFENSE",8
2011,4,"HOMICIDE",7
2002,25,"LIQUOR LAW VIOLATION",83
2002,4,"BATTERY",1057
2003,9,"ASSAULT",410
2003,8,"CRIM SEXUAL ASSAULT",19
2003,5,"DECEPTIVE PRACTICE",42
2003,8,"WEAPONS VIOLATION",214
2003,17,"CRIMINAL TRESPASS",216
2003,5,"THEFT",199
2003,22,"MOTOR VEHICLE THEFT",67
2003,4,"LIQUOR LAW VIOLATION",42
2004,17,"ASSAULT",197
2004,22,"LIQUOR LAW VIOLATION",26
2004,2,"NARCOTICS",3292
2004,22,"OFFENSE INVOLVING CHILDREN",31
2004,22,"KIDNAPPING",2
2004,8,"DECEPTIVE PRACTICE",192
2004,8,"OTHER OFFENSE",365
2005,4,"MOTOR VEHICLE THEFT",118
2005,8,"OTHER OFFENSE",307
2006,22,"OTHER OFFENSE",105
2006,16,"GAMBLING",19
2006,16,"ASSAULT",158
2006,22,"SEX OFFENSE",18
2006,9,"GAMBLING",93
2006,8,"OTHER OFFENSE",277
2006,8,"BATTERY",1236
2007,22,"BATTERY",477
2007,17,"ASSAULT",199
2007,22,"NARCOTICS",1391
2007,17,"LIQUOR LAW VIOLATION",31
2008,9,"CRIMINAL DAMAGE",206
2008,4,"OTHER OFFENSE",173
2008,8,"DECEPTIVE PRACTICE",141
2008,4,"CRIMINAL DAMAGE",142
2008,4,"ASSAULT",360
2008,16,"KIDNAPPING",3
2008,5,"CRIMINAL TRESPASS",272
2009,9,"BATTERY",897
2009,22,"LIQUOR LAW VIOLATION",25
2009,8,"PUBLIC PEACE VIOLATION",242
2009,25,"NARCOTICS",2393
2010,16,"SEX OFFENSE",25
2010,4,"PROSTITUTION",108
2010,9,"CRIMINAL TRESPASS",279
2010,4,"PUBLIC PEACE VIOLATION",177
2010,8,"CRIMINAL DAMAGE",236
2010,4,"PUBLIC INDECENCY",1
2011,17,"THEFT",351
2011,22,"CRIM SEXUAL ASSAULT",5
2011,4,"BATTERY",862
2011,4,"ASSAULT",375
2012,4,"BATTERY",817
2012,2,"DECEPTIVE PRACTICE",62
2012,22,"ASSAULT",142
2012,5,"ASSAULT",326
2012,9,"CRIMINAL TRESPASS",246
2013,9,"DECEPTIVE PRACTICE",118
2013,5,"MOTOR VEHICLE THEFT",35
2013,2,"NARCOTICS",1301
2013,5,"NARCOTICS",1539
2013,16,"BATTERY",349
2019,2,"NARCOTICS",418
2015,8,"ASSAULT",285
2015,4,"GAMBLING",11
2015,16,"OTHER OFFENSE",97
2015,9,"CRIMINAL DAMAGE",86
2015,5,"OTHER OFFENSE",222
2016,25,"DECEPTIVE PRACTICE",34
2016,16,"WEAPONS VIOLATION",21
2016,4,"CRIMINAL TRESPASS",181
2017,16,"OTHER OFFENSE",75
2017,5,"OTHER OFFENSE",384
2017,17,"NARCOTICS",88
2017,9,"NARCOTICS",502
2017,4,"MOTOR VEHICLE THEFT",41
2018,4,"OBSCENITY",6
2018,8,"ROBBERY",42
2018,9,"INTERFERENCE WITH PUBLIC OFFICER",61
2019,5,"DECEPTIVE PRACTICE",22
2019,16,"SEX OFFENSE",8
2002,16,"NARCOTICS",635
2002,5,"INTERFERENCE WITH PUBLIC OFFICER",15
2002,8,"CRIMINAL TRESPASS",284
2002,2,"NARCOTICS",3492
2003,8,"OTHER OFFENSE",351
2003,22,"CRIMINAL DAMAGE",102
2003,9,"GAMBLING",63
2003,5,"WEAPONS VIOLATION",175
2004,4,"SEX OFFENSE",30
2004,4,"CRIM SEXUAL ASSAULT",12
2004,5,"CRIMINAL DAMAGE",162
2004,16,"LIQUOR LAW VIOLATION",76
2004,25,"LIQUOR LAW VIOLATION",64
2005,17,"ROBBERY",39
2005,22,"BATTERY",510
2005,9,"CRIMINAL DAMAGE",287
2006,17,"SEX OFFENSE",53
2006,25,"NARCOTICS",2492
2006,16,"NARCOTICS",654
2007,9,"ASSAULT",357
2007,22,"MOTOR VEHICLE THEFT",60
2007,5,"GAMBLING",50
2007,17,"WEAPONS VIOLATION",62
2007,16,"DECEPTIVE PRACTICE",113
2007,9,"CRIMINAL DAMAGE",283
2007,16,"PUBLIC PEACE VIOLATION",47
2008,16,"THEFT",262
2008,9,"INTIMIDATION",2
2008,9,"OFFENSE INVOLVING CHILDREN",35
2009,5,"PUBLIC PEACE VIOLATION",76
2009,25,"CRIMINAL TRESPASS",286
2009,16,"BATTERY",512
2010,8,"GAMBLING",53
2010,22,"OTHER OFFENSE",133
2010,17,"STALKING",1
2010,22,"NARCOTICS",1294
2010,4,"WEAPONS VIOLATION",211
2010,22,"OFFENSE INVOLVING CHILDREN",21
2010,9,"ASSAULT",309
2010,16,"NARCOTICS",673
2011,9,"WEAPONS VIOLATION",230
2011,8,"NARCOTICS",2584
2011,5,"WEAPONS VIOLATION",219
2011,8,"ASSAULT",358
2011,2,"BATTERY",642
2012,9,"WEAPONS VIOLATION",233
2012,9,"MOTOR VEHICLE THEFT",55
2012,5,"SEX OFFENSE",8
2012,9,"ASSAULT",304
2012,17,"NARCOTICS",519
2012,22,"DECEPTIVE PRACTICE",50
2013,4,"OTHER OFFENSE",209
2013,9,"CRIMINAL TRESPASS",261
2005,25,"CRIM SEXUAL ASSAULT",16
2019,9,"PUBLIC PEACE VIOLATION",35
2015,5,"WEAPONS VIOLATION",244
2015,4,"WEAPONS VIOLATION",223
2015,8,"THEFT",418
2015,16,"BATTERY",337
2015,5,"INTIMIDATION",1
2015,4,"INTERFERENCE WITH PUBLIC OFFICER",115
2016,22,"NARCOTICS",285
2016,8,"DECEPTIVE PRACTICE",50
2017,5,"OFFENSE INVOLVING CHILDREN",18
2018,5,"ASSAULT",202
2018,2,"PUBLIC PEACE VIOLATION",26
2002,9,"OTHER OFFENSE",275
2002,2,"SEX OFFENSE",30
2016,8,"HOMICIDE",24
2002,22,"OTHER OFFENSE",187
2003,22,"LIQUOR LAW VIOLATION",38
2003,8,"BURGLARY",111
2003,2,"ROBBERY",94
2003,25,"PUBLIC PEACE VIOLATION",46
2004,5,"ROBBERY",66
2004,8,"THEFT",953
2004,22,"CRIMINAL TRESPASS",231
2005,25,"ASSAULT",399
2005,22,"WEAPONS VIOLATION",113
2005,4,"PUBLIC PEACE VIOLATION",61
2005,17,"MOTOR VEHICLE THEFT",82
2005,5,"ARSON",8
2005,5,"ASSAULT",268
2005,4,"OTHER OFFENSE",156
2006,5,"CRIMINAL DAMAGE",137
2007,4,"DECEPTIVE PRACTICE",77
2007,5,"NARCOTICS",2564
2007,8,"ASSAULT",472
2007,9,"PUBLIC PEACE VIOLATION",244
2007,4,"WEAPONS VIOLATION",223
2008,16,"BATTERY",505
2008,22,"ASSAULT",203
2009,16,"KIDNAPPING",1
2009,2,"DECEPTIVE PRACTICE",73
2009,4,"BATTERY",906
2009,2,"NARCOTICS",1695
2010,17,"DECEPTIVE PRACTICE",61
2010,8,"DECEPTIVE PRACTICE",98
2010,17,"NARCOTICS",784
2010,5,"INTERFERENCE WITH PUBLIC OFFICER",56
2011,9,"CRIMINAL TRESPASS",268
2011,5,"OFFENSE INVOLVING CHILDREN",19
2011,22,"THEFT",217
2011,22,"NARCOTICS",1018
2012,2,"NARCOTICS",1088
2012,5,"CRIM SEXUAL ASSAULT",12
2012,16,"ASSAULT",130
2012,4,"DECEPTIVE PRACTICE",46
2012,16,"NARCOTICS",581
